X	Y	Z	number of the return	number of returns of given pulse	intensity	classification
680905.660	5239846.950	978.010	1	2	25	5
680905.730	5239846.460	976.120	2	2	9	5
680905.590	5239847.210	977.820	1	2	14	5
680905.620	5239847.030	977.110	2	2	20	5
680905.450	5239848.020	979.790	1	1	20	5
680905.260	5239849.250	983.420	1	1	17	5
680905.240	5239849.180	982.030	1	1	26	5
680905.360	5239848.060	976.570	1	1	43	5
680905.160	5239849.320	980.220	1	1	14	5
680905.070	5239849.770	980.880	1	1	47	5
680905.050	5239849.690	979.350	1	1	25	5
680904.900	5239850.590	981.770	1	2	28	5
680905.060	5239849.460	977.350	2	2	10	5
680904.930	5239850.160	978.920	1	1	35	5
680904.870	5239850.410	978.790	1	2	16	5
680904.970	5239849.660	975.860	2	2	13	5
680904.830	5239850.510	977.970	1	2	39	5
680904.930	5239849.740	974.990	2	2	8	5
680904.770	5239850.670	977.400	1	1	28	5
680904.750	5239850.620	976.070	1	1	57	5
680904.690	5239850.830	975.710	1	1	34	5
680904.680	5239850.720	974.130	1	2	21	5
680905.380	5239845.520	953.610	2	2	27	2
680904.600	5239851.130	974.610	1	2	23	5
680904.750	5239850.000	970.150	2	2	12	5
680904.530	5239851.430	974.630	1	2	37	5
680904.670	5239850.340	970.300	2	2	13	5
680904.610	5239850.610	970.160	1	2	25	5
680905.150	5239846.520	953.950	2	2	8	2
680904.440	5239851.580	972.740	1	2	12	5
680905.070	5239846.890	954.140	2	2	6	2
680904.380	5239851.860	972.750	1	1	41	5
680904.300	5239852.200	972.870	1	1	18	5
680904.290	5239852.060	971.160	1	2	22	5
680904.390	5239851.290	968.070	2	2	24	5
680904.220	5239852.390	971.310	1	1	41	5
680904.150	5239852.690	971.340	1	1	32	5
680904.000	5239853.590	973.710	1	1	34	5
680903.940	5239853.820	973.370	1	2	22	5
680904.540	5239849.250	954.950	2	2	11	2
680903.630	5239855.920	980.700	1	2	12	5
680904.470	5239849.570	955.050	2	2	18	2
680903.550	5239856.290	980.980	1	2	18	5
680904.390	5239849.900	955.100	2	2	14	2
680903.480	5239856.580	981.010	1	2	11	5
680903.530	5239856.220	979.560	2	2	13	5
680903.400	5239856.960	981.370	1	1	32	5
680903.480	5239856.160	976.930	1	2	15	5
680903.500	5239856.000	976.300	2	2	19	5
680903.250	5239857.690	981.980	1	2	27	5
680903.350	5239856.940	978.930	2	2	12	5
680903.230	5239857.550	980.120	1	1	39	5
680903.180	5239857.750	979.790	1	1	25	5
680903.060	5239858.380	981.100	1	2	22	5
680903.270	5239856.800	974.630	2	2	14	5
680903.130	5239857.680	977.110	1	1	31	5
680903.100	5239857.660	975.800	1	1	23	5
680902.980	5239858.330	977.380	1	2	20	5
680903.050	5239857.820	975.290	2	2	22	5
680902.910	5239858.650	977.440	1	2	29	5
680903.010	5239857.840	974.090	2	2	10	5
680902.960	5239858.000	973.540	1	2	13	5
680903.120	5239856.770	968.430	2	2	21	5
680902.970	5239857.710	971.070	1	1	41	5
680902.900	5239858.020	971.090	1	2	19	5
680902.950	5239857.600	969.320	2	2	13	5
680902.510	5239860.750	981.240	1	1	24	5
680902.470	5239860.900	980.730	1	2	18	5
680902.540	5239860.330	978.360	2	2	20	5
680902.390	5239861.230	980.880	1	2	17	5
680902.480	5239860.580	978.160	2	2	17	5
680902.330	5239861.470	980.610	1	1	16	5
680902.280	5239861.600	979.890	1	1	32	5
680902.270	5239861.460	978.100	1	2	18	5
680902.430	5239860.190	972.790	2	2	11	5
680902.280	5239861.110	975.330	1	1	16	5
680902.130	5239862.050	978.070	1	1	23	5
680902.070	5239862.320	978.040	1	1	52	5
680902.050	5239862.250	976.530	1	1	36	5
680901.990	5239862.440	976.040	1	2	13	5
680902.050	5239861.920	973.800	2	2	32	5
680902.040	5239861.790	971.920	1	2	15	5
680902.060	5239861.620	971.220	2	2	29	5
680901.980	5239862.040	971.800	1	2	28	5
680902.410	5239858.630	957.260	2	2	12	2
680901.910	5239862.260	971.440	1	2	8	5
680902.010	5239861.480	968.110	2	2	20	5
680901.670	5239863.950	977.420	1	2	19	5
680901.920	5239861.940	968.810	2	2	8	5
680901.570	5239864.500	978.590	1	1	25	5
680901.510	5239864.750	978.430	1	2	17	5
680901.560	5239864.370	976.790	2	2	12	5
680901.460	5239864.890	977.740	1	1	32	5
680901.380	5239865.220	977.820	1	1	43	5
680901.280	5239865.790	979.090	1	1	35	5
680901.220	5239866.040	978.840	1	2	16	5
680901.300	5239865.380	975.980	2	2	16	5
680901.260	5239865.470	975.160	1	1	32	5
680901.140	5239866.140	976.800	1	2	30	5
680901.190	5239865.750	975.070	2	2	9	5
680901.020	5239866.870	978.750	1	1	30	5
680900.800	5239868.380	984.010	1	1	33	5
